Pattern, Support-Frequence
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9941764510549297-200592']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.994151753470829-99105']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9941486768030497-179416']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9941351872292055-120690']]
[[[['QuasiPiena_T0_1,Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9941275855846989-121210']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9940398939171651-140931']]
[[[['Piena_T0_3,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9939579718038685-78470']]
[[[['QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9939398648123688-140723']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9939049338995725-140890']]
[[[['Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9938860762995546-107778']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9937846357211856-78187']]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.993691055938972-199559']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_3']]], ['0.9936173097783977-102589']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_3']]], ['0.99357959314349-114827']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['Piena_T1_0'], ['QuasiPiena_T2_3']]], ['0.9935515349720435-75343']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_0'], ['QuasiPiena_T2_3']]], ['0.9935329810138971-126899']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3']]], ['0.9934831948824353-132631']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9934770584458106-156265']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9933424814524399-131749']]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.993327890543622-70568']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.993321347716074-149177']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_0,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9933018575092712-121602']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9932943115303745-69916']]
[[[['QuasiPiena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9931726880696413-148089']]
[[[['Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], ['0.9931494674086937-72632']]
[[[['Piena_T0_2,Piena_T0_2,Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2']]], ['0.993146400122336-71440']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9930863415663922-131719']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9930822444273636-83980']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9930804323198922-97305']]
[[[['QuasiPiena_T0_2,Piena_T0_2,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9930682564543021-98279']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9930506046573608-149042']]
[[[['QuasiPiena_T0_1,Piena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9930330486622034-83953']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_3']]], ['0.9930289775833789-108975']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], ['0.9930259009458435-99529']]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9930042497548218-121504']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9930029067154116-66275']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9929862668872627-97830']]
[[[['QuasiPiena_T0_1,Piena_T0_2,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9929376549272719-84920']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,QuasiPiena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9929077460832657-127259']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,QuasiPiena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9927656593168704-126114']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_2']]], ['0.9926937374892765-69429']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9926693114640992-126611']]
[[[['Piena_T0_3,Piena_T0_3,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9926653968788475-94332']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9926586089536609-90999']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9926403623206242-80656']]
[[[['QuasiPiena_T0_2,Piena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9926099311077948-97111']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], ['0.9925972678355567-92787']]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9925756710451171-79948']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9925516942730324-91682']]
[[[['Piena_T0_3,Piena_T0_2,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9925501432664756-90064']]
