Pattern, Support-Frequence
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9979682628647494-284890']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9979673944931059-95250']]
[[[['Vuota_T0_1,Vuota_T0_1,Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9979577047236313-30296']]
[[[['Vuota_T0_2,Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9979499426881788-333452']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9979470837865579-325695']]
[[[['Vuota_T0_0,Piena_T0_1,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9979309593814657-45820']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9979226970883706-58608']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9979104596988663-99813']]
[[[['Vuota_T0_3,Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9979065131039574-329857']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9979059246527984-101026']]
[[[['Vuota_T0_2,Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9979050215722054-328669']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9978969287447423-336417']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2,Piena_T1_1'], ['Vuota_T2_3']]], ['0.997896736549291-88248']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9978892537092354-323372']]
[[[['Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9978875044864892-97309']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9978697405521514-337267']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.997862495927012-306244']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9978621434948081-42475']]
[[[['Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9978564848175275-218796']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9978466247954821-94531']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9978410554154812-258826']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9978394353096319-169496']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_3']]], ['0.9978394332224263-329293']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3']]], ['0.997838373175664-336517']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_0,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9978377038342883-72451']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3']]], ['0.99783510282367-278854']]
[[[['Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9978319763110984-269246']]
