Pattern, Confidence-Frequence-Frequence %
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['Piena_T1_0']]], [0.4875-78-14.5%]]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['QuasiPiena_T1_0']]], [0.3625-58-10.78%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0']]], [0.33088235294117646-90-16.73%]]
[[[['Piena_T0_0'], ['Piena_T1_0,QuasiPiena_T1_0']]], [0.1801470588235294-49-9.11%]]
[[[['Piena_T0_0'], ['QuasiPiena_T2_0']]], [0.17279411764705882-47-8.74%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_0']]], [0.162534435261708-118-21.93%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_0,QuasiPiena_T1_0']]], [0.07713498622589532-56-10.41%]]
[[[['QuasiPiena_T0_0'], ['Piena_T2_0']]], [0.05785123966942149-42-7.81%]]
